"","strain","motif_len","pheno","n","metric"
"261","BXD170","4",1,42,"delta (RU) expan"
"262","BXD171","4",1.05405405405405,74,"delta (RU) expan"
"263","BXD172","4",1.01351351351351,74,"delta (RU) expan"
"264","BXD173","4",1.01492537313433,67,"delta (RU) expan"
"265","BXD174","4",1.04838709677419,62,"delta (RU) expan"
"266","BXD175","4",1,32,"delta (RU) expan"
"267","BXD176","4",1.01492537313433,67,"delta (RU) expan"
"268","BXD177","4",1.01449275362319,69,"delta (RU) expan"
"269","BXD178","4",1.01298701298701,77,"delta (RU) expan"
"270","BXD180","4",1,70,"delta (RU) expan"
"271","BXD181","4",1.02272727272727,44,"delta (RU) expan"
"272","BXD183","4",1.03947368421053,76,"delta (RU) expan"
"273","BXD184","4",1.01724137931034,58,"delta (RU) expan"
"274","BXD186","4",1,69,"delta (RU) expan"
"275","BXD187","4",1.0377358490566,53,"delta (RU) expan"
"276","BXD190","4",1.06779661016949,59,"delta (RU) expan"
"277","BXD191","4",1,43,"delta (RU) expan"
"278","BXD195","4",1,65,"delta (RU) expan"
"279","BXD196","4",1.02040816326531,49,"delta (RU) expan"
"280","BXD197","4",1.02777777777778,36,"delta (RU) expan"
"281","BXD198","4",1.06122448979592,49,"delta (RU) expan"
"282","BXD199","4",1.05769230769231,52,"delta (RU) expan"
"283","BXD201","4",1.09090909090909,33,"delta (RU) expan"
"284","BXD202","4",1.0188679245283,53,"delta (RU) expan"
"285","BXD204","4",1.05660377358491,53,"delta (RU) expan"
"286","BXD205","4",1.03921568627451,51,"delta (RU) expan"
"287","BXD209","4",1.01923076923077,52,"delta (RU) expan"
"288","BXD211","4",1.05357142857143,56,"delta (RU) expan"
"289","BXD213","4",1.01639344262295,61,"delta (RU) expan"
"290","BXD214","4",1.02941176470588,34,"delta (RU) expan"
"291","BXD215","4",1.09677419354839,31,"delta (RU) expan"
"292","BXD216","4",1.03846153846154,52,"delta (RU) expan"
"293","BXD217","4",1.02173913043478,46,"delta (RU) expan"
"294","BXD218","4",1.08108108108108,37,"delta (RU) expan"
"295","BXD219","4",1,51,"delta (RU) expan"
"296","BXD221","4",1,19,"delta (RU) expan"
"297","BXD222","4",1.03125,32,"delta (RU) expan"
"298","BXD223","4",1.03571428571429,28,"delta (RU) expan"
"299","BXD224","4",1,26,"delta (RU) expan"
"300","BXD225","4",1.05263157894737,19,"delta (RU) expan"
"301","BXD226","4",1,49,"delta (RU) expan"
"302","BXD227","4",1,37,"delta (RU) expan"
"303","BXD001","4",1.16568047337278,169,"delta (RU) contr"
"304","BXD002","4",1.17857142857143,196,"delta (RU) contr"
"305","BXD005","4",1.11864406779661,177,"delta (RU) contr"
"306","BXD006","4",1.09929078014184,141,"delta (RU) contr"
"307","BXD008","4",1.14432989690722,97,"delta (RU) contr"
"308","BXD009","4",1.05429864253394,221,"delta (RU) contr"
"309","BXD011","4",1.14102564102564,156,"delta (RU) contr"
"310","BXD012","4",1.13807531380753,239,"delta (RU) contr"
"311","BXD013","4",1.1743119266055,109,"delta (RU) contr"
"312","BXD014","4",1.10810810810811,222,"delta (RU) contr"
"313","BXD015","4",1.09767441860465,215,"delta (RU) contr"
"314","BXD016","4",1.13675213675214,117,"delta (RU) contr"
"315","BXD018","4",1.10179640718563,167,"delta (RU) contr"
"316","BXD019","4",1.16083916083916,143,"delta (RU) contr"
"317","BXD020","4",1.09852216748768,203,"delta (RU) contr"
"318","BXD021","4",1.05681818181818,88,"delta (RU) contr"
"319","BXD022","4",1.19230769230769,182,"delta (RU) contr"
"320","BXD024","4",1.03676470588235,136,"delta (RU) contr"
"321","BXD024_cep","4",1.09302325581395,172,"delta (RU) contr"
"322","BXD027","4",1.18518518518519,162,"delta (RU) contr"
"323","BXD028","4",1.04605263157895,152,"delta (RU) contr"
"324","BXD029","4",1.15492957746479,71,"delta (RU) contr"
"325","BXD029_trl4","4",1.12389380530973,113,"delta (RU) contr"
"326","BXD031","4",1.10791366906475,278,"delta (RU) contr"
"327","BXD032","4",1.06808510638298,235,"delta (RU) contr"
"328","BXD033","4",1.10204081632653,49,"delta (RU) contr"
"329","BXD034","4",1.12068965517241,58,"delta (RU) contr"
"330","BXD036","4",1.08928571428571,56,"delta (RU) contr"
"331","BXD038","4",1.11827956989247,93,"delta (RU) contr"
"332","BXD039","4",1.09259259259259,54,"delta (RU) contr"
"333","BXD040","4",1.08860759493671,79,"delta (RU) contr"
"334","BXD042","4",1.16279069767442,86,"delta (RU) contr"
"335","BXD043","4",1.06896551724138,58,"delta (RU) contr"
"336","BXD044","4",1.12121212121212,33,"delta (RU) contr"
"337","BXD045","4",1.16071428571429,56,"delta (RU) contr"
"338","BXD048","4",1.06060606060606,66,"delta (RU) contr"
"339","BXD048a","4",1.04545454545455,66,"delta (RU) contr"
"340","BXD049","4",1.04838709677419,62,"delta (RU) contr"
"341","BXD050","4",1.08791208791209,91,"delta (RU) contr"
"342","BXD051","4",1.06666666666667,45,"delta (RU) contr"
"343","BXD053","4",1.12820512820513,39,"delta (RU) contr"
"344","BXD055","4",1.19230769230769,52,"delta (RU) contr"
"345","BXD056","4",1.125,88,"delta (RU) contr"
"346","BXD060","4",1.31818181818182,44,"delta (RU) contr"
"347","BXD061","4",1.06666666666667,45,"delta (RU) contr"
"348","BXD062","4",1.06578947368421,76,"delta (RU) contr"
"349","BXD063","4",1.08333333333333,72,"delta (RU) contr"
"350","BXD064","4",1.18867924528302,53,"delta (RU) contr"
"351","BXD065","4",1.03921568627451,51,"delta (RU) contr"
"352","BXD065a","4",1.11363636363636,44,"delta (RU) contr"
"353","BXD065b","4",1.06666666666667,45,"delta (RU) contr"
"354","BXD066","4",1.34042553191489,47,"delta (RU) contr"
"355","BXD067","4",1.06451612903226,62,"delta (RU) contr"
"356","BXD068","4",1.07246376811594,69,"delta (RU) contr"
"357","BXD069","4",1.07142857142857,42,"delta (RU) contr"
"358","BXD070","4",1.10869565217391,46,"delta (RU) contr"
"359","BXD071","4",1.21052631578947,38,"delta (RU) contr"
"360","BXD073","4",1.06451612903226,31,"delta (RU) contr"
"361","BXD073a","4",1.075,40,"delta (RU) contr"
